REGION,REGION_ABBR,YEAR,WEEK,EPIWEEK,% WEIGHTED ILI,% UNWEIGHTED ILI,ISSUE,RELEASE_DATE,NUM_PROVIDERS,NUM_PATIENTS,NUM_ILI,SOURCE
Alaska,AK,2013,40,2013W40,0.6238,0.6238,201740,2017-10-24,9,2084,13,Delphi Epidata fluview (sourced from CDC FluView)
Alabama,AL,2013,40,2013W40,1.59044,1.59044,201740,2017-10-24,27,12638,201,Delphi Epidata fluview (sourced from CDC FluView)
Arkansas,AR,2013,40,2013W40,1.63326,1.63326,201740,2017-10-24,18,4041,66,Delphi Epidata fluview (sourced from CDC FluView)
Arizona,AZ,2013,40,2013W40,0.792311,0.792311,201740,2017-10-24,59,29029,230,Delphi Epidata fluview (sourced from CDC FluView)
California,CA,2013,40,2013W40,1.52479,1.52479,201740,2017-10-24,137,41514,633,Delphi Epidata fluview (sourced from CDC FluView)
Colorado,CO,2013,40,2013W40,0.652244,0.652244,201740,2017-10-24,9,21771,142,Delphi Epidata fluview (sourced from CDC FluView)
Connecticut,CT,2013,40,2013W40,0.701388,0.701388,201740,2017-10-24,27,6701,47,Delphi Epidata fluview (sourced from CDC FluView)
District of Columbia,DC,2013,40,2013W40,5.41463,5.41463,201740,2017-10-24,3,2050,111,Delphi Epidata fluview (sourced from CDC FluView)
Delaware,DE,2013,40,2013W40,0.49636,0.49636,201740,2017-10-24,12,3022,15,Delphi Epidata fluview (sourced from CDC FluView)
Georgia,GA,2013,40,2013W40,1.00692,1.00692,201740,2017-10-24,41,37739,380,Delphi Epidata fluview (sourced from CDC FluView)
Hawaii,HI,2013,40,2013W40,1.25261,1.25261,201740,2017-10-24,16,1437,18,Delphi Epidata fluview (sourced from CDC FluView)
Iowa,IA,2013,40,2013W40,0.170691,0.170691,201740,2017-10-24,21,36323,62,Delphi Epidata fluview (sourced from CDC FluView)
Idaho,ID,2013,40,2013W40,0.5631,0.5631,201740,2017-10-24,8,3019,17,Delphi Epidata fluview (sourced from CDC FluView)
Illinois,IL,2013,40,2013W40,1.41144,1.41144,201740,2017-10-24,105,60860,859,Delphi Epidata fluview (sourced from CDC FluView)
Indiana,IN,2013,40,2013W40,0.918555,0.918555,201740,2017-10-24,38,9798,90,Delphi Epidata fluview (sourced from CDC FluView)
Kansas,KS,2013,40,2013W40,0.333611,0.333611,201740,2017-10-24,32,7194,24,Delphi Epidata fluview (sourced from CDC FluView)
Kentucky,KY,2013,40,2013W40,0.242983,0.242983,201740,2017-10-24,17,20166,49,Delphi Epidata fluview (sourced from CDC FluView)
Massachusetts,MA,2013,40,2013W40,0.621216,0.621216,201740,2017-10-24,57,31551,196,Delphi Epidata fluview (sourced from CDC FluView)
Maryland,MD,2013,40,2013W40,0.544569,0.544569,201740,2017-10-24,18,10467,57,Delphi Epidata fluview (sourced from CDC FluView)
Maine,ME,2013,40,2013W40,0.823958,0.823958,201740,2017-10-24,33,6311,52,Delphi Epidata fluview (sourced from CDC FluView)
Michigan,MI,2013,40,2013W40,1.1005,1.1005,201740,2017-10-24,48,16538,182,Delphi Epidata fluview (sourced from CDC FluView)
Minnesota,MN,2013,40,2013W40,0.259572,0.259572,201740,2017-10-24,12,4623,12,Delphi Epidata fluview (sourced from CDC FluView)
Missouri,MO,2013,40,2013W40,1.10175,1.10175,201740,2017-10-24,22,7715,85,Delphi Epidata fluview (sourced from CDC FluView)
