week_id,epiweek,week_end_date,week_idx,state_id,state_code,state_name,weekly_confirmed_influenza_hospital_admissions,is_observed,is_imputed,imputation_source
0,2022W05,2022-02-05,4,0,al,Alabama,5.0,1,0,observed
1,2022W06,2022-02-12,5,0,al,Alabama,9.0,1,0,observed
2,2022W07,2022-02-19,6,0,al,Alabama,21.0,1,0,observed
3,2022W08,2022-02-26,7,0,al,Alabama,10.0,1,0,observed
4,2022W09,2022-03-05,8,0,al,Alabama,26.0,1,0,observed
5,2022W10,2022-03-12,9,0,al,Alabama,35.0,1,0,observed
6,2022W11,2022-03-19,10,0,al,Alabama,23.0,1,0,observed
7,2022W12,2022-03-26,11,0,al,Alabama,17.0,1,0,observed
8,2022W13,2022-04-02,12,0,al,Alabama,25.0,1,0,observed
9,2022W14,2022-04-09,13,0,al,Alabama,21.0,1,0,observed
10,2022W15,2022-04-16,14,0,al,Alabama,11.0,1,0,observed
11,2022W16,2022-04-23,15,0,al,Alabama,25.0,1,0,observed
12,2022W17,2022-04-30,16,0,al,Alabama,8.0,1,0,observed
13,2022W18,2022-05-07,17,0,al,Alabama,19.0,1,0,observed
14,2022W19,2022-05-14,18,0,al,Alabama,12.0,1,0,observed
15,2022W20,2022-05-21,19,0,al,Alabama,15.0,1,0,observed
16,2022W21,2022-05-28,20,0,al,Alabama,13.0,1,0,observed
17,2022W22,2022-06-04,21,0,al,Alabama,13.0,1,0,observed
18,2022W23,2022-06-11,22,0,al,Alabama,15.0,1,0,observed
19,2022W24,2022-06-18,23,0,al,Alabama,15.0,1,0,observed
20,2022W25,2022-06-25,24,0,al,Alabama,7.0,1,0,observed
21,2022W26,2022-07-02,25,0,al,Alabama,8.0,1,0,observed
22,2022W27,2022-07-09,26,0,al,Alabama,15.0,1,0,observed
23,2022W28,2022-07-16,27,0,al,Alabama,33.0,1,0,observed
24,2022W29,2022-07-23,28,0,al,Alabama,5.0,1,0,observed
25,2022W30,2022-07-30,29,0,al,Alabama,9.0,1,0,observed
26,2022W31,2022-08-06,30,0,al,Alabama,9.0,1,0,observed
27,2022W32,2022-08-13,31,0,al,Alabama,7.0,1,0,observed
28,2022W33,2022-08-20,32,0,al,Alabama,5.0,1,0,observed
29,2022W34,2022-08-27,33,0,al,Alabama,10.0,1,0,observed
30,2022W35,2022-09-03,34,0,al,Alabama,13.0,1,0,observed
31,2022W36,2022-09-10,35,0,al,Alabama,12.0,1,0,observed
32,2022W37,2022-09-17,36,0,al,Alabama,22.0,1,0,observed
33,2022W38,2022-09-24,37,0,al,Alabama,19.0,1,0,observed
34,2022W39,2022-10-01,38,0,al,Alabama,28.0,1,0,observed
35,2022W40,2022-10-08,39,0,al,Alabama,42.0,1,0,observed
36,2022W41,2022-10-15,40,0,al,Alabama,87.0,1,0,observed
37,2022W42,2022-10-22,41,0,al,Alabama,140.0,1,0,observed
38,2022W43,2022-10-29,42,0,al,Alabama,269.0,1,0,observed
39,2022W44,2022-11-05,43,0,al,Alabama,399.0,1,0,observed
